I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.',\tpositive
"""Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families &amp; God bless the USA!""",\tpositive
"""North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!""",\tnegative
"Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free, because of the brave. #MemorialDay_Ùà__Ùàü",\tpositive
The Fake News Media works hard at disparaging &amp; demeaning my use of social media because they don't want America to hear the real story!,\tnegative
"The massive TAX CUTS/REFORM that I have submitted is moving along in the process very well, actually ahead of schedule. Big benefits to all!",\tpositive
I suggest that we add more dollars to Healthcare and make it the best anywhere. ObamaCare is dead - the Republicans will do much better!,\tnegative
British Prime Minister May was very angry that the info the U.K. gave to U.S. about Manchester was leaked. Gave me full details!,\tnegative
Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered,\tnegative
....it is very possible that those sources don't exist but are made up by fake news writers. #FakeNews is the enemy!,\tnegative
"Whenever you see the words 'sources say' in the fake news media, and they don't mention names....",\tnegative
It is my opinion that many of the leaks coming out of the White House are fabricated lies made up by the #FakeNews media.,\tnegative
Just returned from Europe. Trip was a great success for America. Hard work but big results!,\tpositive
Big win in Montana for Republicans!,\tpositive
"Bringing hundreds of billions of dollars back to the U.S.A. from the Middle East - which will mean JOBS, JOBS, JOBS!",\tpositive
I look forward to reading the @CommerceGov 232 analysis of steel and aluminum- to be released in June. Will take major action if necessary.,\tpositive
"....""we push for the removal of all trade-distorting practices....to foster a truly level playing field.""",\tnegative
"Just left the #G7Summit. Had great meetings on everything, especially on trade where....",\tpositive
I will make my final decision on the Paris Accord next week!,\tnegative
"Many NATO countries have agreed to step up payments considerably, as they should. Money is beginning to pour in- NATO will be much stronger.",\tpositive
"Big G7 meetings today. Lots of very important matters under discussion. First on the list, of course, is terrorism. #G7Taormina",\tnegative
"On behalf of @FLOTUS Melania and myself, thank you for a wonderful dinner and evening, President Sergio Mattarella.‰Û_ https://t.co/EhvWgjkRrY",\tpositive
Terrorists are engaged in a war against civilization- it is up to all who value life to confront &amp; defeat this evil‰_Á•üèhttps://t.co/haeuvCIF6I,\tnegative
"Getting ready to engage G7 leaders on many issues including economic growth, terrorism, and security.",\tpositive
Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,\tpositive
RT @FLOTUS: Thank u to Queen Fabiola University Hospital! Enjoyed creating paper flowers with amazing patients &amp; getting a tour. #Brussels‰Û_,\tpositive
"Thank you for the warm welcome to Brussels, Belgium this afternoon! https://t.co/1AvYSameD4",\tpositive
Honor of a lifetime to meet His Holiness Pope Francis. I leave the Vatican more determined than ever to pursue PEAC‰Û_ https://t.co/Jhe7SROaxD,\tnegative
All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.,\tpositive
"Israel, Saudi Arabia and the Middle East were great. Trying hard for PEACE. Doing well. Heading to Vatican &amp; Pope, then #G7 and #NATO.",\tnegative
"Thank you for such a wonderful and unforgettable visit, Prime Minister @Netanyahu and @PresidentRuvi.",\tpositive
We stand in absolute solidarity with the people of the United Kingdom. https://t.co/X6fUUxxYXE,\tpositive
"Prime Minister @Netanyahu and @PresidentRuvi- on behalf of @FLOTUS Melania and myself, thank you for the invitation‰Û_ https://t.co/Z5YCpaRV6t",\tpositive
RT @FLOTUS: I had a wonderful time with the students at the American International School #Riyadh today. #SaudiaArabia https://t.co/AVzVV0W‰Û_,\tpositive
"Thank you to the BRAVE servicemen &amp; women who have served, and continue to serve the United States- our true HEROES‰Û_ https://t.co/ZTV9F639xM",\tpositive
"Great to be in Riyadh, Saudi Arabia. Looking forward to the afternoon and evening ahead. #POTUSAbroad https://t.co/JJOra0KfyR",\tpositive
Getting ready for my big foreign trip. Will be strongly protecting American interests - that's what I like to do!,\tpositive
"With all of the illegal acts that took place in the Clinton campaign &amp; Obama Administration, there was never a special counsel appointed!",\tnegative
This is the single greatest witch hunt of a politician in American history!,\tnegative
It was my great honor to deliver the #CGACommencement17 at the @USCGAcademy. CONGRATULATIONS to the Class of 2017!‰Û_ https://t.co/ehQanQXiSy,\tpositive
"It was a great honor to welcome the President of Turkey, Recep Tayyip Erdo€Ùan, to the @WhiteHouse today! https://t.co/4BWjOCgnNv",\tpositive
"I have been asking Director Comey &amp; others, from the beginning of my administration, to find the LEAKERS in the intelligence community.....",\tnegative
"...to terrorism and airline flight safety. Humanitarian reasons, plus I want Russia to greatly step up their fight against ISIS &amp; terrorism.",\tnegative
"As President I wanted to share with Russia (at an openly scheduled W.H. meeting) which I have the absolute right to do, facts pertaining....",\tnegative
"China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!",\tpositive
"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",\tnegative
"James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press!",\tnegative
"...Maybe the best thing to do would be to cancel all future ""press briefings"" and hand out written responses for the sake of accuracy???",\tnegative
"As a very active President with lots of things happening, it is not possible for my surrogates to stand at podium with perfect accuracy!....",\tnegative
The Fake Media is working overtime today!,\tnegative
"Again, the story that there was collusion between the Russians &amp; Trump campaign was fabricated by Dems as an excuse for losing the election.",\tnegative
"Yesterday, on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine, Pavlo‰Û_ https://t.co/hm4U54DCQO",\tnegative
Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,\tnegative
We finally agree on something Rosie. https://t.co/BSP5F3PgbZ,\tpositive
